date,name,rank_day,rank_week,rank_month,rank_quarter,rank_half,rank_year,rank_ytd,rank_week_delta_7d,rank_week_delta_14d,rank_week_delta_30d,rank_month_delta_7d,rank_month_delta_14d,rank_month_delta_30d,rank_ytd_delta_7d,rank_ytd_delta_14d,rank_ytd_delta_30d,perf_week_delta_7d,perf_week_delta_14d,perf_week_delta_30d,perf_month_delta_7d,perf_ytd_delta_7d,perf_ytd_delta_30d,momentum_score
2026-06-09,Semiconductors,,127.0,23.0,6.0,12.0,8.0,13.0,,,,,,,,,,,,,,,,0.8141858141858141
2026-06-09,Shell Companies,,100.0,88.0,39.0,134.0,144.0,83.0,,,,,,,,,,,,,,,,0.3756243756243757
2026-06-09,Silver,,144.0,144.0,143.0,35.0,7.0,57.0,,,,,,,,,,,,,,,,0.44955044955044954
2026-06-09,Software - Application,,138.0,58.0,98.0,140.0,140.0,140.0,,,,,,,,,,,,,,,,0.24275724275724272
2026-06-09,Software - Infrastructure,,142.0,41.0,33.0,103.0,100.0,103.0,,,,,,,,,,,,,,,,0.3736263736263737
2026-06-09,Solar,,141.0,2.0,10.0,40.0,17.0,39.0,,,,,,,,,,,,,,,,0.6243756243756244
2026-06-09,Specialty Business Services,,104.0,87.0,120.0,117.0,138.0,120.0,,,,,,,,,,,,,,,,0.18681318681318682
2026-06-09,Specialty Chemicals,,67.0,90.0,68.0,43.0,79.0,44.0,,,,,,,,,,,,,,,,0.5124875124875125
2026-06-09,Specialty Industrial Machinery,,49.0,106.0,55.0,45.0,45.0,40.0,,,,,,,,,,,,,,,,0.6383616383616385
2026-06-09,Specialty Retail,,103.0,101.0,117.0,93.0,87.0,87.0,,,,,,,,,,,,,,,,0.36863136863136864
2026-06-09,Staffing & Employment Services,,85.0,14.0,12.0,58.0,134.0,71.0,,,,,,,,,,,,,,,,0.5784215784215785
2026-06-09,Steel,,96.0,30.0,9.0,9.0,11.0,14.0,,,,,,,,,,,,,,,,0.7602397602397604
2026-06-09,Telecom Services,,122.0,124.0,129.0,87.0,110.0,86.0,,,,,,,,,,,,,,,,0.2867132867132867
2026-06-09,Textile Manufacturing,,1.0,9.0,15.0,15.0,89.0,18.0,,,,,,,,,,,,,,,,0.8481518481518482
2026-06-09,Thermal Coal,,72.0,28.0,109.0,66.0,40.0,75.0,,,,,,,,,,,,,,,,0.5554445554445555
2026-06-09,Tobacco,,42.0,39.0,60.0,42.0,80.0,48.0,,,,,,,,,,,,,,,,0.5884115884115885
2026-06-09,Tools & Accessories,,14.0,74.0,59.0,33.0,41.0,38.0,,,,,,,,,,,,,,,,0.7112887112887112
2026-06-09,Travel Services,,109.0,104.0,90.0,100.0,109.0,124.0,,,,,,,,,,,,,,,,0.24375624375624377
2026-06-09,Trucking,,7.0,3.0,7.0,6.0,19.0,6.0,,,,,,,,,,,,,,,,0.951048951048951
2026-06-09,Uranium,,132.0,142.0,125.0,73.0,14.0,51.0,,,,,,,,,,,,,,,,0.45354645354645357
2026-06-09,Utilities - Diversified,,47.0,79.0,85.0,76.0,57.0,72.0,,,,,,,,,,,,,,,,0.4605394605394605
2026-06-09,Utilities - Independent Power Producers,,124.0,141.0,136.0,141.0,111.0,138.0,,,,,,,,,,,,,,,,0.10389610389610392
2026-06-09,Utilities - Regulated Electric,,40.0,96.0,108.0,67.0,71.0,65.0,,,,,,,,,,,,,,,,0.42157842157842157
2026-06-09,Utilities - Regulated Gas,,41.0,108.0,107.0,75.0,67.0,73.0,,,,,,,,,,,,,,,,0.4145854145854146
2026-06-09,Utilities - Regulated Water,,87.0,139.0,113.0,80.0,61.0,61.0,,,,,,,,,,,,,,,,0.3596403596403596
2026-06-09,Utilities - Renewable,,117.0,82.0,42.0,39.0,12.0,26.0,,,,,,,,,,,,,,,,0.5894105894105894
2026-06-09,Waste Management,,35.0,73.0,128.0,94.0,125.0,97.0,,,,,,,,,,,,,,,,0.3186813186813187
