date,session,collected_at,ticker,group,list_category,trigger,stop,atr,price,open,high,low,change,status,atr_from_lod,reclaim_ref,reclaim_ref_value,RSI,Volatility W,Volatility M,Rel Volume,52W High,Price,SMA20,SMA50,ATR
2026-09-24,pre_close,2026-09-24T19:33:13Z,SKHY,Semiconductors,all_green,193.08,186.11,9.86,186.49,185.68,188.89,184.86,-1.48,reclaim,0.1653144016227176,prior_low,186.11,56.39,3.76%,3.99%,0.28,-6.69%,186.49,4.41%,14.28%,9.47
2026-09-24,pre_close,2026-09-24T19:33:13Z,SMCI,Computer Hardware,all_green,42.7,40.79,2.33,41.83,40.42,42.28,39.85,0.93,reclaim,0.8497854077253205,prior_low,40.79,60.78,5.21%,5.35%,0.66,-28.84%,41.83,7.89%,20.65%,2.34
2026-09-24,pre_close,2026-09-24T19:33:13Z,SMTC,Semiconductors,all_green,174.5,165.01,11.34,172.97,164.04,174.0,162.56,2.15,reclaim,0.9179894179894177,prior_low,165.01,59.39,5.67%,6.95%,0.64,-9.27%,172.97,10.47%,23.70%,11.35
2026-09-24,pre_close,2026-09-24T19:33:13Z,SNAP,Internet Content & Information,all_green,5.58,5.25,0.29,5.34,5.23,5.36,5.23,0.94,reclaim,0.3793103448275843,prior_low,5.25,46.60,5.31%,5.58%,0.53,-41.51%,5.34,-3.68%,1.83%,0.28
2026-09-24,pre_close,2026-09-24T19:33:13Z,SNDK,Computer Hardware,all_green,1902.22,1803.67,116.5,1745.4,1785.89,1802.55,1726.39,-3.92,invalidated,0.16317596566523598,,,55.72,6.97%,5.97%,0.57,-25.87%,1745.40,5.86%,15.65%,114.62
2026-09-24,pre_close,2026-09-24T19:33:13Z,STX,Computer Hardware,all_green,927.0,885.0,53.47,903.62,914.66,926.01,899.0,-2.19,setting_up,0.08640359079857873,,,56.88,6.53%,5.39%,0.53,-21.08%,903.62,6.88%,6.78%,51.58
2026-09-24,pre_close,2026-09-24T19:33:13Z,TER,Semiconductor Equipment & Materials,emerging,398.68,378.31,21.6,388.22,382.66,388.46,376.03,-0.24,reclaim,0.5643518518518543,prior_low,378.31,55.59,4.81%,4.28%,0.24,-20.43%,388.22,7.23%,5.64%,20.99
2026-09-24,pre_close,2026-09-24T19:33:13Z,TRMB,Scientific & Technical Instruments,rs_new_high,59.88,58.7,1.63,57.67,59.14,59.35,57.64,-2.78,invalidated,0.01840490797546082,,,47.37,2.31%,2.60%,0.34,-31.69%,57.67,-1.80%,0.15%,1.64
2026-09-24,pre_close,2026-09-24T19:33:13Z,TSEM,Semiconductors,all_green,236.96,224.1,13.47,218.71,226.26,227.88,217.84,-5.12,invalidated,0.06458797327394243,,,49.27,5.08%,4.76%,0.69,-31.64%,218.71,2.34%,-3.05%,13.41
2026-09-24,pre_close,2026-09-24T19:33:13Z,TSM,Semiconductors,all_green,450.88,442.87,10.77,449.5,441.87,452.54,440.82,0.66,reclaim,0.8059424326833804,prior_low,442.87,61.87,1.90%,1.94%,0.47,-6.16%,449.50,4.79%,7.19%,10.84
